white_proportion,female_proportion,average_age,attendance_in_mills,budget_in_mills,highest_starpower,genre_action (Dummy),genre_comedy (Dummy),genre_drama (Dummy),genre_other (Dummy),content_rating (Dummy)_PG,content_rating (Dummy)_PG-13,content_rating (Dummy)_R
1.0,0.0,36.0,45.0,300.0,1,1,0,0,0,False,True,False
1.0,0.3333333333333333,35.333333333333336,49.0,258.0,1,1,0,0,0,False,True,False
1.0,0.6666666666666666,53.0,10.0,180.0,30,0,0,0,1,False,True,False
0.6666666666666666,0.0,42.0,15.0,175.0,20,0,1,0,0,True,False,False
0.3333333333333333,1.0,33.0,24.0,168.0,229,1,1,0,0,False,True,False
1.0,0.0,48.0,46.0,150.0,688,1,0,0,0,False,True,False
0.0,0.6666666666666666,23.333333333333332,37.0,150.0,2,0,0,1,0,False,True,False
0.3333333333333333,0.6666666666666666,46.333333333333336,20.0,140.0,57,1,1,0,0,False,True,False
0.6666666666666666,0.0,35.0,19.0,130.0,12,1,0,0,0,True,False,False
0.6666666666666666,0.0,46.0,33.0,110.0,2,1,0,0,0,False,True,False
0.6666666666666666,0.0,44.333333333333336,20.0,225.0,549,1,0,0,0,True,False,False
1.0,0.0,58.666666666666664,44.0,185.0,1,1,0,0,0,False,True,False
0.6666666666666666,0.0,44.666666666666664,74.0,185.0,1,1,0,1,0,False,True,False
1.0,0.3333333333333333,43.333333333333336,18.0,150.0,4,0,0,1,0,False,True,False
0.6666666666666666,0.3333333333333333,37.666666666666664,32.0,150.0,2,1,0,1,0,False,True,False
0.6666666666666666,0.0,49.333333333333336,19.0,150.0,50,1,0,0,0,False,True,False
0.3333333333333333,0.0,43.333333333333336,14.0,145.0,10,1,0,0,0,False,True,False
1.0,0.0,48.0,44.0,140.0,1,1,0,0,0,False,True,False
1.0,0.0,23.333333333333332,6.0,120.0,170,1,0,0,0,True,False,False
0.6666666666666666,0.0,36.666666666666664,15.0,92.0,1,1,1,0,0,False,False,True
0.3333333333333333,0.3333333333333333,50.333333333333336,101.0,237.0,17,1,0,0,0,False,True,False
0.6666666666666666,0.0,44.333333333333336,54.0,200.0,96,1,0,0,0,False,True,False
0.6666666666666666,0.3333333333333333,33.333333333333336,17.0,200.0,3,1,0,0,0,False,True,False
1.0,0.0,35.0,22.0,200.0,471,1,0,0,0,False,True,False
1.0,0.0,31.666666666666668,20.0,175.0,15,1,0,0,0,False,True,False
1.0,0.0,43.333333333333336,24.0,150.0,71,0,1,0,0,True,False,False
1.0,0.0,48.666666666666664,24.0,150.0,2,1,0,0,0,False,True,False
0.6666666666666666,0.3333333333333333,57.333333333333336,18.0,150.0,12,0,0,0,1,False,True,False
1.0,0.0,52.333333333333336,34.0,150.0,17,1,0,0,0,False,True,False
1.0,0.0,51.333333333333336,14.0,130.0,4,1,0,1,0,False,False,True
1.0,0.0,48.333333333333336,13.0,200.0,151,1,0,1,0,False,True,False
1.0,0.3333333333333333,46.333333333333336,42.0,200.0,3,0,0,0,1,True,False,False
1.0,0.0,30.666666666666668,12.0,200.0,3,1,0,0,0,False,True,False
1.0,0.3333333333333333,38.333333333333336,40.0,200.0,1,1,0,0,0,False,True,False
1.0,0.3333333333333333,43.0,22.0,170.0,4,1,0,0,0,True,False,False
1.0,0.0,32.666666666666664,37.0,160.0,2,1,0,0,0,False,True,False
0.6666666666666666,0.3333333333333333,42.666666666666664,13.0,155.0,2380,0,0,0,1,True,False,False
0.6666666666666666,0.0,30.0,8.0,150.0,15,1,0,0,0,True,False,False
0.6666666666666666,0.0,58.666666666666664,8.0,150.0,102,0,0,1,0,False,False,True
0.3333333333333333,0.3333333333333333,25.666666666666668,17.0,150.0,17,1,0,0,0,True,False,False
1.0,0.0,37.0,30.0,250.0,4,1,0,0,0,False,True,False
0.3333333333333333,0.0,53.666666666666664,15.0,200.0,4,1,0,0,0,False,True,False
0.6666666666666666,0.0,51.666666666666664,44.0,195.0,1087,1,0,0,0,False,True,False
1.0,0.3333333333333333,52.333333333333336,9.0,170.0,16,0,0,1,0,True,False,False
1.0,0.3333333333333333,35.333333333333336,18.0,160.0,1,1,0,0,0,False,True,False
0.6666666666666666,0.3333333333333333,44.0,23.0,150.0,1,1,0,0,0,False,True,False
1.0,0.0,46.666666666666664,26.0,145.0,16,1,0,0,0,False,True,False
1.0,0.3333333333333333,30.666666666666668,22.0,140.0,1,1,0,0,0,False,True,False
1.0,0.0,42.333333333333336,10.0,135.0,224,1,0,0,0,True,False,False
0.6666666666666666,0.0,40.333333333333336,26.0,125.0,3,1,0,0,0,False,True,False
1.0,0.6666666666666666,33.666666666666664,9.0,264.0,82,1,0,0,0,False,True,False
1.0,0.0,34.666666666666664,56.0,250.0,1,1,0,0,0,False,True,False
1.0,0.3333333333333333,26.666666666666668,33.0,230.0,1,1,0,0,0,False,True,False
0.3333333333333333,0.3333333333333333,40.666666666666664,22.0,225.0,11,1,1,0,0,False,True,False
1.0,0.3333333333333333,34.666666666666664,78.0,220.0,1,1,0,0,0,False,True,False
0.6666666666666666,0.0,45.0,8.0,209.0,2,1,0,0,0,False,True,False
1.0,0.0,38.0,38.0,180.0,73,0,0,0,1,False,True,False
1.0,0.3333333333333333,25.666666666666668,19.0,170.0,1,1,0,1,0,False,True,False
0.6666666666666666,0.3333333333333333,39.333333333333336,11.0,150.0,2,1,0,0,0,False,True,False
1.0,0.3333333333333333,39.333333333333336,16.0,130.0,2,0,0,0,1,False,False,True
0.6666666666666666,0.0,43.666666666666664,36.0,225.0,1,1,0,0,0,False,True,False
1.0,0.0,39.0,32.0,225.0,576,0,0,0,1,False,True,False
1.0,0.3333333333333333,48.666666666666664,11.0,215.0,7,1,0,0,0,False,True,False
1.0,0.3333333333333333,37.0,29.0,215.0,2,0,0,0,1,True,False,False
0.6666666666666666,0.0,48.0,50.0,200.0,1,1,0,0,0,False,True,False
1.0,0.0,47.333333333333336,8.0,195.0,694,0,0,0,1,False,True,False
1.0,0.3333333333333333,47.666666666666664,25.0,190.0,7,1,0,0,0,False,True,False
0.6666666666666666,0.0,44.0,28.0,190.0,1,1,0,0,0,False,True,False
0.6666666666666666,0.0,39.666666666666664,13.0,190.0,1,1,0,0,0,False,True,False
0.0,0.0,47.0,5.0,175.0,49,1,0,1,0,False,True,False
0.6666666666666666,0.6666666666666666,44.666666666666664,30.0,210.0,150,1,0,0,0,False,True,False
1.0,0.3333333333333333,30.666666666666668,25.0,200.0,1,1,0,0,0,False,True,False
1.0,0.3333333333333333,38.333333333333336,29.0,200.0,1,1,0,0,0,False,True,False
1.0,0.3333333333333333,38.0,30.0,180.0,1,1,0,0,0,True,False,False
1.0,0.3333333333333333,43.666666666666664,12.0,178.0,21,1,0,0,0,False,True,False
1.0,0.3333333333333333,37.666666666666664,26.0,170.0,36,1,0,1,0,False,True,False
1.0,0.6666666666666666,31.666666666666668,32.0,170.0,1,1,0,0,0,False,True,False
0.6666666666666666,0.0,45.333333333333336,41.0,170.0,3,1,0,0,0,False,True,False
1.0,0.6666666666666666,30.333333333333332,23.0,165.0,3,0,0,1,0,False,True,False
1.0,0.0,48.333333333333336,14.0,127.0,1,0,1,0,0,True,False,False
1.0,0.3333333333333333,37.666666666666664,54.0,250.0,4,1,0,0,0,False,True,False
1.0,0.0,46.0,42.0,190.0,1,1,0,0,0,False,True,False
1.0,0.3333333333333333,34.0,11.0,190.0,27,1,0,0,0,True,False,False
1.0,0.3333333333333333,33.333333333333336,6.0,176.0,3,1,0,0,0,False,True,False
1.0,0.3333333333333333,16.333333333333332,33.0,160.0,2,0,0,0,1,False,True,False
1.0,0.3333333333333333,40.666666666666664,11.0,155.0,1,1,0,0,0,False,True,False
0.6666666666666666,0.6666666666666666,37.0,77.0,150.0,1,1,0,0,0,False,True,False
0.6666666666666666,0.3333333333333333,35.666666666666664,4.0,150.0,1,0,0,0,1,True,False,False
1.0,0.0,39.333333333333336,22.0,135.0,1,0,0,1,0,False,False,True
0.6666666666666666,0.6666666666666666,36.0,21.0,130.0,1,1,1,0,0,False,True,False
1.0,0.3333333333333333,40.666666666666664,38.0,250.0,2,1,0,0,0,False,True,False
1.0,0.3333333333333333,39.333333333333336,47.0,250.0,5,1,0,0,0,False,True,False
0.6666666666666666,1.0,30.0,15.0,185.0,3,1,0,0,0,False,True,False
1.0,0.0,46.333333333333336,14.0,180.0,3,1,0,1,0,False,True,False
1.0,0.3333333333333333,28.333333333333332,18.0,178.0,7,1,0,0,0,False,True,False
0.6666666666666666,0.0,42.333333333333336,19.0,175.0,83,1,1,0,0,False,True,False
1.0,0.3333333333333333,52.333333333333336,9.0,170.0,1,0,0,0,1,True,False,False
0.6666666666666666,0.6666666666666666,64.33333333333333,12.0,165.0,80,1,0,0,0,False,True,False
0.6666666666666666,0.3333333333333333,42.666666666666664,5.0,160.0,28,1,0,0,0,False,True,False
0.6666666666666666,0.3333333333333333,43.666666666666664,14.0,144.0,4,1,1,0,0,False,True,False
