white_proportion,female_proportion,genres,average_age,attendance_in_mills,budget_in_mills,highest_starpower,genre_action (Dummy),genre_comedy (Dummy),genre_drama (Dummy),genre_other (Dummy),content_rating (Dummy)_PG,content_rating (Dummy)_PG-13,content_rating (Dummy)_R
1.0,0.0,Action|Adventure|Fantasy,36.0,45.0,300.0,1,1,0,0,0,False,True,False
1.0,0.3333333333333333,Action|Adventure|Romance,35.333333333333336,49.0,258.0,1,1,0,0,0,False,True,False
1.0,0.6666666666666666,Adventure|Family|Fantasy,53.0,10.0,180.0,30,0,0,0,1,False,True,False
0.6666666666666666,0.0,Comedy|Family|Fantasy,42.0,15.0,175.0,20,0,1,0,0,True,False,False
0.3333333333333333,1.0,Action|Adventure|Comedy,33.0,24.0,168.0,229,1,1,0,0,False,True,False
1.0,0.0,Action|Adventure|Sci-Fi,48.0,46.0,150.0,688,1,0,0,0,False,True,False
0.0,0.6666666666666666,Drama|Horror|Sci-Fi,23.333333333333332,37.0,150.0,2,0,0,1,0,False,True,False
0.3333333333333333,0.6666666666666666,Action|Comedy|Crime|Thriller,46.333333333333336,20.0,140.0,57,1,1,0,0,False,True,False
0.6666666666666666,0.0,Action|Adventure|Sci-Fi|Thriller,35.0,19.0,130.0,12,1,0,0,0,True,False,False
0.6666666666666666,0.0,Action|Mystery|Thriller,46.0,33.0,110.0,2,1,0,0,0,False,True,False
0.6666666666666666,0.0,Action|Adventure|Family|Fantasy,44.333333333333336,20.0,225.0,549,1,0,0,0,True,False,False
1.0,0.0,Action|Adventure|Fantasy,58.666666666666664,44.0,185.0,1,1,0,0,0,False,True,False
0.6666666666666666,0.0,Action|Crime|Drama|Thriller,44.666666666666664,74.0,185.0,1,1,0,1,0,False,True,False
1.0,0.3333333333333333,Drama|Fantasy|Romance,43.333333333333336,18.0,150.0,4,0,0,1,0,False,True,False
0.6666666666666666,0.3333333333333333,Action|Drama,37.666666666666664,32.0,150.0,2,1,0,1,0,False,True,False
0.6666666666666666,0.0,Action|Adventure|Sci-Fi,49.333333333333336,19.0,150.0,50,1,0,0,0,False,True,False
0.3333333333333333,0.0,Action|Adventure|Fantasy|Horror|Thriller,43.333333333333336,14.0,145.0,10,1,0,0,0,False,True,False
1.0,0.0,Action|Adventure|Sci-Fi,48.0,44.0,140.0,1,1,0,0,0,False,True,False
1.0,0.0,Action|Family|Sport,23.333333333333332,6.0,120.0,170,1,0,0,0,True,False,False
0.6666666666666666,0.0,Action|Comedy,36.666666666666664,15.0,92.0,1,1,1,0,0,False,False,True
0.3333333333333333,0.3333333333333333,Action|Adventure|Fantasy|Sci-Fi,50.333333333333336,101.0,237.0,17,1,0,0,0,False,True,False
0.6666666666666666,0.0,Action|Adventure|Sci-Fi,44.333333333333336,54.0,200.0,96,1,0,0,0,False,True,False
0.6666666666666666,0.3333333333333333,Action|Adventure|Sci-Fi,33.333333333333336,17.0,200.0,3,1,0,0,0,False,True,False
1.0,0.0,Action|Adventure|Sci-Fi,35.0,22.0,200.0,471,1,0,0,0,False,True,False
1.0,0.0,Action|Adventure|Sci-Fi|Thriller,31.666666666666668,20.0,175.0,15,1,0,0,0,False,True,False
1.0,0.0,Adventure|Comedy|Family|Fantasy,43.333333333333336,24.0,150.0,71,0,1,0,0,True,False,False
1.0,0.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,48.666666666666664,24.0,150.0,2,1,0,0,0,False,True,False
0.6666666666666666,0.3333333333333333,Mystery|Thriller,57.333333333333336,18.0,150.0,12,0,0,0,1,False,True,False
1.0,0.0,Action|Adventure|Sci-Fi,52.333333333333336,34.0,150.0,17,1,0,0,0,False,True,False
1.0,0.0,Action|Drama|Mystery|Sci-Fi,51.333333333333336,14.0,130.0,4,1,0,1,0,False,False,True
1.0,0.0,Action|Adventure|Drama|History,48.333333333333336,13.0,200.0,151,1,0,1,0,False,True,False
1.0,0.3333333333333333,Adventure|Family|Fantasy,46.333333333333336,42.0,200.0,3,0,0,0,1,True,False,False
1.0,0.0,Action|Adventure|Fantasy|Romance,30.666666666666668,12.0,200.0,3,1,0,0,0,False,True,False
1.0,0.3333333333333333,Action|Adventure|Sci-Fi,38.333333333333336,40.0,200.0,1,1,0,0,0,False,True,False
1.0,0.3333333333333333,Action|Adventure|Sci-Fi,43.0,22.0,170.0,4,1,0,0,0,True,False,False
1.0,0.0,Action|Adventure|Sci-Fi|Thriller,32.666666666666664,37.0,160.0,2,1,0,0,0,False,True,False
0.6666666666666666,0.3333333333333333,Adventure|Family|Fantasy,42.666666666666664,13.0,155.0,2380,0,0,0,1,True,False,False
0.6666666666666666,0.0,Action|Adventure|Family|Fantasy,30.0,8.0,150.0,15,1,0,0,0,True,False,False
0.6666666666666666,0.0,Drama|Fantasy|Horror|Thriller,58.666666666666664,8.0,150.0,102,0,0,1,0,False,False,True
0.3333333333333333,0.3333333333333333,Action|Adventure|Family|Fantasy,25.666666666666668,17.0,150.0,17,1,0,0,0,True,False,False
1.0,0.0,Action|Adventure|Fantasy,37.0,30.0,250.0,4,1,0,0,0,False,True,False
0.3333333333333333,0.0,Action|Adventure|Sci-Fi,53.666666666666664,15.0,200.0,4,1,0,0,0,False,True,False
0.6666666666666666,0.0,Action|Adventure|Sci-Fi,51.666666666666664,44.0,195.0,1087,1,0,0,0,False,True,False
1.0,0.3333333333333333,Adventure|Drama|Family|Mystery,52.333333333333336,9.0,170.0,16,0,0,1,0,True,False,False
1.0,0.3333333333333333,Action|Adventure|Sci-Fi,35.333333333333336,18.0,160.0,1,1,0,0,0,False,True,False
0.6666666666666666,0.3333333333333333,Action|Adventure|Fantasy,44.0,23.0,150.0,1,1,0,0,0,False,True,False
1.0,0.0,Action|Adventure|Thriller,46.666666666666664,26.0,145.0,16,1,0,0,0,False,True,False
1.0,0.3333333333333333,Action|Adventure|Sci-Fi,30.666666666666668,22.0,140.0,1,1,0,0,0,False,True,False
1.0,0.0,Action|Adventure|Family|Mystery,42.333333333333336,10.0,135.0,224,1,0,0,0,True,False,False
0.6666666666666666,0.0,Action|Crime|Thriller,40.333333333333336,26.0,125.0,3,1,0,0,0,False,True,False
1.0,0.6666666666666666,Action|Adventure|Sci-Fi,33.666666666666664,9.0,264.0,82,1,0,0,0,False,True,False
1.0,0.0,Action|Thriller,34.666666666666664,56.0,250.0,1,1,0,0,0,False,True,False
1.0,0.3333333333333333,Action|Adventure|Fantasy,26.666666666666668,33.0,230.0,1,1,0,0,0,False,True,False
0.3333333333333333,0.3333333333333333,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,40.666666666666664,22.0,225.0,11,1,1,0,0,False,True,False
1.0,0.3333333333333333,Action|Adventure|Sci-Fi,34.666666666666664,78.0,220.0,1,1,0,0,0,False,True,False
0.6666666666666666,0.0,Action|Adventure|Sci-Fi|Thriller,45.0,8.0,209.0,2,1,0,0,0,False,True,False
1.0,0.0,Adventure|Fantasy,38.0,38.0,180.0,73,0,0,0,1,False,True,False
1.0,0.3333333333333333,Action|Adventure|Drama|Fantasy,25.666666666666668,19.0,170.0,1,1,0,1,0,False,True,False
0.6666666666666666,0.3333333333333333,Action|Adventure|Fantasy,39.333333333333336,11.0,150.0,2,1,0,0,0,False,True,False
1.0,0.3333333333333333,Adventure|Mystery|Sci-Fi,39.333333333333336,16.0,130.0,2,0,0,0,1,False,False,True
0.6666666666666666,0.0,Action|Adventure|Fantasy|Sci-Fi,43.666666666666664,36.0,225.0,1,1,0,0,0,False,True,False
1.0,0.0,Adventure|Fantasy,39.0,32.0,225.0,576,0,0,0,1,False,True,False
1.0,0.3333333333333333,Action|Adventure|Western,48.666666666666664,11.0,215.0,7,1,0,0,0,False,True,False
1.0,0.3333333333333333,Adventure|Family|Fantasy,37.0,29.0,215.0,2,0,0,0,1,True,False,False
0.6666666666666666,0.0,Action|Adventure|Sci-Fi,48.0,50.0,200.0,1,1,0,0,0,False,True,False
1.0,0.0,Adventure|Fantasy,47.333333333333336,8.0,195.0,694,0,0,0,1,False,True,False
1.0,0.3333333333333333,Action|Adventure|Horror|Sci-Fi|Thriller,47.666666666666664,25.0,190.0,7,1,0,0,0,False,True,False
0.6666666666666666,0.0,Action|Adventure|Sci-Fi,44.0,28.0,190.0,1,1,0,0,0,False,True,False
0.6666666666666666,0.0,Action|Adventure|Sci-Fi,39.666666666666664,13.0,190.0,1,1,0,0,0,False,True,False
0.0,0.0,Action|Adventure|Drama|Fantasy,47.0,5.0,175.0,49,1,0,1,0,False,True,False
0.6666666666666666,0.6666666666666666,Action|Adventure|Sci-Fi,44.666666666666664,30.0,210.0,150,1,0,0,0,False,True,False
1.0,0.3333333333333333,Action|Adventure|Fantasy|Sci-Fi,30.666666666666668,25.0,200.0,1,1,0,0,0,False,True,False
1.0,0.3333333333333333,Action|Adventure|Fantasy|Sci-Fi|Thriller,38.333333333333336,29.0,200.0,1,1,0,0,0,False,True,False
1.0,0.3333333333333333,Action|Adventure|Family|Fantasy|Romance,38.0,30.0,180.0,1,1,0,0,0,True,False,False
1.0,0.3333333333333333,Action|Adventure|Sci-Fi,43.666666666666664,12.0,178.0,21,1,0,0,0,False,True,False
1.0,0.3333333333333333,Action|Adventure|Drama|Sci-Fi,37.666666666666664,26.0,170.0,36,1,0,1,0,False,True,False
1.0,0.6666666666666666,Action|Adventure|Sci-Fi,31.666666666666668,32.0,170.0,1,1,0,0,0,False,True,False
0.6666666666666666,0.0,Action|Adventure|Sci-Fi,45.333333333333336,41.0,170.0,3,1,0,0,0,False,True,False
1.0,0.6666666666666666,Adventure|Drama|Sci-Fi,30.333333333333332,23.0,165.0,3,0,0,1,0,False,True,False
1.0,0.0,Adventure|Comedy|Family|Fantasy,48.333333333333336,14.0,127.0,1,0,1,0,0,True,False,False
1.0,0.3333333333333333,Action|Adventure|Sci-Fi,37.666666666666664,54.0,250.0,4,1,0,0,0,False,True,False
1.0,0.0,Action|Crime|Thriller,46.0,42.0,190.0,1,1,0,0,0,False,True,False
1.0,0.3333333333333333,Action|Adventure|Family|Mystery|Sci-Fi,34.0,11.0,190.0,27,1,0,0,0,True,False,False
1.0,0.3333333333333333,Action|Adventure|Sci-Fi,33.333333333333336,6.0,176.0,3,1,0,0,0,False,True,False
1.0,0.3333333333333333,Adventure|Sci-Fi,16.333333333333332,33.0,160.0,2,0,0,0,1,False,True,False
1.0,0.3333333333333333,Action|Adventure|Sci-Fi,40.666666666666664,11.0,155.0,1,1,0,0,0,False,True,False
0.6666666666666666,0.6666666666666666,Action|Adventure|Sci-Fi|Thriller,37.0,77.0,150.0,1,1,0,0,0,False,True,False
0.6666666666666666,0.3333333333333333,Adventure|Family|Fantasy,35.666666666666664,4.0,150.0,1,0,0,0,1,True,False,False
1.0,0.0,Adventure|Drama|Thriller|Western,39.333333333333336,22.0,135.0,1,0,0,1,0,False,False,True
0.6666666666666666,0.6666666666666666,Action|Adventure|Comedy|Sci-Fi,36.0,21.0,130.0,1,1,1,0,0,False,True,False
1.0,0.3333333333333333,Action|Adventure|Sci-Fi,40.666666666666664,38.0,250.0,2,1,0,0,0,False,True,False
1.0,0.3333333333333333,Action|Adventure|Sci-Fi,39.333333333333336,47.0,250.0,5,1,0,0,0,False,True,False
0.6666666666666666,1.0,Action|Adventure|Sci-Fi|Thriller,30.0,15.0,185.0,3,1,0,0,0,False,True,False
1.0,0.0,Action|Adventure|Drama|Romance,46.333333333333336,14.0,180.0,3,1,0,1,0,False,True,False
1.0,0.3333333333333333,Action|Adventure|Sci-Fi,28.333333333333332,18.0,178.0,7,1,0,0,0,False,True,False
0.6666666666666666,0.0,Action|Adventure|Comedy|Sci-Fi,42.333333333333336,19.0,175.0,83,1,1,0,0,False,True,False
1.0,0.3333333333333333,Adventure|Family|Fantasy,52.333333333333336,9.0,170.0,1,0,0,0,1,True,False,False
0.6666666666666666,0.6666666666666666,Action|Adventure|Sci-Fi,64.33333333333333,12.0,165.0,80,1,0,0,0,False,True,False
0.6666666666666666,0.3333333333333333,Action|Adventure|Fantasy,42.666666666666664,5.0,160.0,28,1,0,0,0,False,True,False
0.6666666666666666,0.3333333333333333,Action|Comedy|Fantasy|Sci-Fi,43.666666666666664,14.0,144.0,4,1,1,0,0,False,True,False
